epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.56,0.77658,1.97879,1.26538,0.60511,0.02083,0.45052,0.30086,0.79108,2.89205,1.48189,0.0675789,0.000327485,0.000327485
2,288.895,0.77616,1.19721,1.23876,0.74997,0.84145,0.88729,0.6976,0.58636,1.45098,1.24424,0.0345353,0.000617205,0.000617205
3,509.051,0.76201,1.01588,1.23678,0.85785,0.7706,0.87454,0.70405,0.69167,1.47486,1.36141,0.00144772,0.000862924,0.000862924
4,849.699,0.7629,0.97012,1.22871,0.9872,0.94553,0.98428,0.79173,0.65857,1.16616,1.30978,0.000802,0.000802,0.000802
5,984.416,0.72147,0.91423,1.17912,0.90204,0.95305,0.98794,0.74038,0.79332,1.03455,1.33852,0.000736,0.000736,0.000736
6,1155.16,0.58064,0.86117,1.17854,0.94429,0.97669,0.98659,0.76813,0.65956,0.96793,1.26102,0.00067,0.00067,0.00067
7,1343.09,0.51738,0.68245,1.12563,0.98416,0.97861,0.99236,0.81088,0.67187,0.88341,1.24478,0.000604,0.000604,0.000604
8,1474.72,0.46241,0.60801,1.0608,0.98499,0.96,0.99257,0.85205,0.54517,0.67805,1.08806,0.000538,0.000538,0.000538
9,1619.07,0.47589,0.57208,1.06683,0.98116,0.99265,0.995,0.90585,0.43667,0.56802,1.03862,0.000472,0.000472,0.000472
10,1753.87,0.42576,0.53371,1.0287,0.99428,0.978,0.99346,0.89749,0.42306,0.54736,1.00968,0.000406,0.000406,0.000406
11,1909.47,0.41225,0.50763,1.01904,0.95196,0.97917,0.99214,0.93515,0.37998,0.54388,0.97296,0.00034,0.00034,0.00034
12,2106.92,0.38966,0.47368,0.97525,0.99277,1,0.995,0.93552,0.36752,0.46876,0.96427,0.000274,0.000274,0.000274
13,2300.05,0.378,0.44959,0.99613,0.99316,1,0.995,0.90713,0.44434,0.47864,1.02241,0.000208,0.000208,0.000208
14,2442.52,0.35468,0.42828,0.96477,0.99256,0.99919,0.995,0.93829,0.35843,0.41518,0.95413,0.000142,0.000142,0.000142
15,2584.45,0.33463,0.41075,0.94856,0.99063,0.99897,0.995,0.93028,0.37104,0.42396,0.95582,7.6e-05,7.6e-05,7.6e-05
